trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1050,False,"{'a': 0.5, 'e': 0.04264972421450965}",25,19,9.986799185715503,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1051,False,"{'a': 0.5, 'e': 0.042521775041866126}",20,0,27.53376630920303,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1052,False,"{'a': 0.5, 'e': 0.04239420971674053}",30,6,41.49435165257127,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
1053,False,"{'a': 0.5, 'e': 0.04226702708759031}",30,16,25.29211293964833,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1054,False,"{'a': 0.5, 'e': 0.04214022600632754}",30,15,29.659176745904478,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1055,False,"{'a': 0.5, 'e': 0.042013805328308555}",20,10,7.108551638283587,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1056,False,"{'a': 0.5, 'e': 0.04188776391232363}",20,11,19.275237208704223,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1057,False,"{'a': 0.5, 'e': 0.041762100620586655}",25,18,18.341168283953067,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1058,False,"{'a': 0.5, 'e': 0.041636814318724895}",20,12,16.887037054557002,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1059,False,"{'a': 0.5, 'e': 0.04151190387576872}",20,0,-3.202020073629602,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
1060,False,"{'a': 0.5, 'e': 0.04138736816414141}",25,11,15.736640303385133,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1061,False,"{'a': 0.5, 'e': 0.041263206059648984}",25,18,14.161509410679514,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1062,False,"{'a': 0.5, 'e': 0.04113941644147004}",30,12,33.46499828131299,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1063,False,"{'a': 0.5, 'e': 0.04101599819214563}",30,12,22.865320573600595,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1064,False,"{'a': 0.5, 'e': 0.040892950197569194}",30,22,12.5078133188649,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1065,False,"{'a': 0.5, 'e': 0.040770271346976486}",20,13,0.22702583838310408,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1066,False,"{'a': 0.5, 'e': 0.040647960532935554}",25,16,18.542882897119426,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1067,False,"{'a': 0.5, 'e': 0.040526016651336746}",20,14,10.634193774023599,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1068,False,"{'a': 0.5, 'e': 0.040404438601382736}",20,14,12.063397294741666,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1069,False,"{'a': 0.5, 'e': 0.04028322528557859}",35,23,24.956364282544108,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1070,False,"{'a': 0.5, 'e': 0.04016237560972185}",25,17,14.249635434008166,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1071,False,"{'a': 0.5, 'e': 0.04004188848289268}",25,7,23.07347705708199,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1072,False,"{'a': 0.5, 'e': 0.039921762817444}",30,16,30.83546009388118,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1073,False,"{'a': 0.5, 'e': 0.03980199752899167}",20,6,11.090521517222943,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1074,False,"{'a': 0.5, 'e': 0.039682591536404695}",20,16,6.779508315685375,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1075,False,"{'a': 0.5, 'e': 0.03956354376179548}",25,8,30.5813625402283,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1076,False,"{'a': 0.5, 'e': 0.03944485313051009}",20,2,32.150748282752616,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1077,False,"{'a': 0.5, 'e': 0.03932651857111856}",20,12,15.573082068153452,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1078,False,"{'a': 0.5, 'e': 0.039208539015405205}",20,5,22.155867727177785,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1079,False,"{'a': 0.5, 'e': 0.03909091339835899}",20,13,11.421441345797842,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1080,False,"{'a': 0.5, 'e': 0.03897364065816391}",20,16,9.6429537571155,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1081,False,"{'a': 0.5, 'e': 0.03885671973618942}",25,11,24.992341807312407,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1082,False,"{'a': 0.5, 'e': 0.038740149576980853}",20,8,25.105035666315047,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1083,False,"{'a': 0.5, 'e': 0.03862392912824991}",30,20,22.897989769838173,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1084,False,"{'a': 0.5, 'e': 0.03850805734086516}",20,10,19.739918063933825,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1085,False,"{'a': 0.5, 'e': 0.038392533168842564}",30,20,-1.9451247567607632,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
1086,False,"{'a': 0.5, 'e': 0.038277355569336036}",35,25,18.852640505645137,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1087,False,"{'a': 0.5, 'e': 0.038162523502628026}",20,2,27.227899310675937,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1088,False,"{'a': 0.5, 'e': 0.03804803593212014}",20,16,7.629933235828707,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1089,False,"{'a': 0.5, 'e': 0.03793389182432378}",25,15,23.931596576413295,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1090,False,"{'a': 0.5, 'e': 0.03782009014885081}",20,13,13.171071140293446,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1091,False,"{'a': 0.5, 'e': 0.03770662987840426}",20,14,11.247583393369695,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1092,False,"{'a': 0.5, 'e': 0.03759350998876904}",20,8,24.479074635767308,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1093,False,"{'a': 0.5, 'e': 0.037480729458802736}",25,13,21.71122448767733,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1094,False,"{'a': 0.5, 'e': 0.03736828727042633}",25,13,21.59837788122301,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1095,False,"{'a': 0.5, 'e': 0.03725618240861505}",30,15,25.178657633802327,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1096,False,"{'a': 0.5, 'e': 0.037144413861389204}",25,10,27.06270899131312,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1097,False,"{'a': 0.5, 'e': 0.037032980619805034}",20,10,18.291619313962585,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1098,False,"{'a': 0.5, 'e': 0.03692188167794562}",30,8,33.73976187480115,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1099,False,"{'a': 0.5, 'e': 0.03681111603291178}",20,9,21.768602323982527,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1100,False,"{'a': 0.5, 'e': 0.036700682684813045}",25,17,14.024232069786583,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1101,False,"{'a': 0.5, 'e': 0.03659058063675861}",25,11,29.52880364243143,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1102,False,"{'a': 0.5, 'e': 0.03648080889484833}",30,18,21.905885950591845,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1103,False,"{'a': 0.5, 'e': 0.03637136646816379}",20,12,10.892623398230299,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1104,False,"{'a': 0.5, 'e': 0.036262252368759296}",20,13,15.436865848527013,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1105,False,"{'a': 0.5, 'e': 0.036153465611653016}",25,14,-18.55263889002459,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
1106,False,"{'a': 0.5, 'e': 0.03604500521481806}",25,8,18.532529279286738,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1107,False,"{'a': 0.5, 'e': 0.035936870199173604}",20,12,14.532204811741007,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1108,False,"{'a': 0.5, 'e': 0.03582905958857608}",20,8,19.831380789515187,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1109,False,"{'a': 0.5, 'e': 0.03572157240981035}",20,13,15.075143667525955,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1110,False,"{'a': 0.5, 'e': 0.035614407692580924}",25,20,10.587553481209113,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1111,False,"{'a': 0.5, 'e': 0.03550756446950318}",25,10,22.508425357433715,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1112,False,"{'a': 0.5, 'e': 0.03540104177609467}",20,15,2.7653541869403893,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
1113,False,"{'a': 0.5, 'e': 0.03529483865076639}",35,22,16.572903339547047,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
1114,False,"{'a': 0.5, 'e': 0.035188954134814085}",25,14,18.39347025561035,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1115,False,"{'a': 0.5, 'e': 0.035083387272409644}",20,7,20.932637872766765,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1116,False,"{'a': 0.5, 'e': 0.03497813711059242}",25,5,31.17514022741605,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1117,False,"{'a': 0.5, 'e': 0.03487320269926064}",30,10,29.581402927388268,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1118,False,"{'a': 0.5, 'e': 0.03476858309116286}",25,19,12.268512921289574,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1119,False,"{'a': 0.5, 'e': 0.03466427734188937}",20,3,16.266284652820772,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
1120,False,"{'a': 0.5, 'e': 0.034560284509863703}",20,13,-27.949095707810603,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
1121,False,"{'a': 0.5, 'e': 0.034456603656334114}",25,16,14.446152719026923,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1122,False,"{'a': 0.5, 'e': 0.034353233845365115}",20,8,22.60012225305408,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1123,False,"{'a': 0.5, 'e': 0.03425017414382902}",20,10,16.5573069155628,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1124,False,"{'a': 0.5, 'e': 0.034147423621397534}",20,12,14.28791093690618,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1125,False,"{'a': 0.5, 'e': 0.03404498135053334}",25,15,22.175048970762546,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1126,False,"{'a': 0.5, 'e': 0.03394284640648174}",35,25,18.464881349601583,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1127,False,"{'a': 0.5, 'e': 0.0338410178672623}",20,1,35.34327659826783,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1128,False,"{'a': 0.5, 'e': 0.03373949481366051}",20,13,13.789077731187035,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1129,False,"{'a': 0.5, 'e': 0.03363827632921953}",25,15,20.280966031872584,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1130,False,"{'a': 0.5, 'e': 0.03353736150023187}",20,8,-17.565167104926786,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1131,False,"{'a': 0.5, 'e': 0.03343674941573117}",25,18,12.928218031949806,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1132,False,"{'a': 0.5, 'e': 0.03333643916748398}",30,10,20.094251889801207,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
1133,False,"{'a': 0.5, 'e': 0.03323642984998153}",20,15,11.571361054332957,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1134,False,"{'a': 0.5, 'e': 0.033136720560431585}",20,14,12.452488693883438,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1135,False,"{'a': 0.5, 'e': 0.03303731039875029}",30,17,26.367797048815568,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1136,False,"{'a': 0.5, 'e': 0.03293819846755404}",20,10,18.02276764625469,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1137,False,"{'a': 0.5, 'e': 0.03283938387215138}",20,0,19.753472641441988,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1138,False,"{'a': 0.5, 'e': 0.032740865720534924}",25,6,30.326359743675518,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1139,False,"{'a': 0.5, 'e': 0.03264264312337332}",25,7,35.24490216057031,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1140,False,"{'a': 0.5, 'e': 0.0325447151940032}",25,11,28.952160545484478,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1141,False,"{'a': 0.5, 'e': 0.032447081048421186}",20,16,7.972290747212427,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1142,False,"{'a': 0.5, 'e': 0.032349739805275925}",25,13,20.686502864972756,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1143,False,"{'a': 0.5, 'e': 0.0322526905858601}",20,2,31.88869571743815,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1144,False,"{'a': 0.5, 'e': 0.032155932514102516}",25,17,14.950603454124508,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1145,False,"{'a': 0.5, 'e': 0.03205946471656021}",20,3,-26.226155803350583,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
1146,False,"{'a': 0.5, 'e': 0.03196328632241053}",25,15,17.77349950986421,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1147,False,"{'a': 0.5, 'e': 0.0318673964634433}",25,14,21.631848416580517,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1148,False,"{'a': 0.5, 'e': 0.03177179427405297}",25,16,15.12557075633544,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1149,False,"{'a': 0.5, 'e': 0.031676478891230805}",25,15,19.446532861802208,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1150,False,"{'a': 0.5, 'e': 0.03158144945455711}",20,5,22.139248604930337,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1151,False,"{'a': 0.5, 'e': 0.03148670510619344}",30,11,18.691058801227832,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1152,False,"{'a': 0.5, 'e': 0.03139224499087486}",20,9,17.53808138550848,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1153,False,"{'a': 0.5, 'e': 0.031298068255902235}",20,13,12.39766099535733,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1154,False,"{'a': 0.5, 'e': 0.03120417405113453}",20,15,10.564107133515902,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1155,False,"{'a': 0.5, 'e': 0.031110561528981125}",30,7,42.32390041603206,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1156,False,"{'a': 0.5, 'e': 0.03101722984439418}",20,0,30.765018740564873,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1157,False,"{'a': 0.5, 'e': 0.030924178154860996}",20,8,24.401957678076986,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1158,False,"{'a': 0.5, 'e': 0.030831405620396414}",20,0,28.462478023695727,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1159,False,"{'a': 0.5, 'e': 0.030738911403535223}",20,10,15.201890539344413,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1160,False,"{'a': 0.5, 'e': 0.03064669466932462}",25,14,23.562305086036986,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1161,False,"{'a': 0.5, 'e': 0.030554754585316646}",30,20,18.014178413233672,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1162,False,"{'a': 0.5, 'e': 0.030463090321560696}",25,10,27.161712710679133,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1163,False,"{'a': 0.5, 'e': 0.030371701050596014}",25,11,26.639925272399605,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1164,False,"{'a': 0.5, 'e': 0.030280585947444226}",25,7,28.140617498111478,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1165,False,"{'a': 0.5, 'e': 0.030189744189601894}",20,13,13.39611476424739,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1166,False,"{'a': 0.5, 'e': 0.030099174957033088}",25,16,16.003311223464003,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1167,False,"{'a': 0.5, 'e': 0.030008877432161987}",20,15,9.862805489078948,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1168,False,"{'a': 0.5, 'e': 0.0299188507998655}",30,19,20.936466417558787,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1169,False,"{'a': 0.5, 'e': 0.029829094247465902}",20,10,18.012177153405037,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1170,False,"{'a': 0.5, 'e': 0.029739606964723504}",20,16,6.861558008751949,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1171,False,"{'a': 0.5, 'e': 0.029650388143829334}",25,16,16.8209350635675,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1172,False,"{'a': 0.5, 'e': 0.029561436979397844}",20,10,18.557034064656463,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1173,False,"{'a': 0.5, 'e': 0.02947275266845965}",25,15,17.44884884583988,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1174,False,"{'a': 0.5, 'e': 0.029384334410454273}",25,10,28.425639478133316,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1175,False,"{'a': 0.5, 'e': 0.02929618140722291}",25,8,25.452175644466184,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1176,False,"{'a': 0.5, 'e': 0.02920829286300124}",30,13,33.40861163564434,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1177,False,"{'a': 0.5, 'e': 0.029120667984412235}",30,11,34.85404066956348,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1178,False,"{'a': 0.5, 'e': 0.029033305980458998}",25,19,11.837382914434404,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1179,False,"{'a': 0.5, 'e': 0.02894620606251762}",25,17,15.23266606233992,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1180,False,"{'a': 0.5, 'e': 0.02885936744433007}",20,11,14.8765128913304,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1181,False,"{'a': 0.5, 'e': 0.02877278934199708}",20,8,24.118523927950687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1182,False,"{'a': 0.5, 'e': 0.02868647097397109}",30,13,31.39433156916298,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1183,False,"{'a': 0.5, 'e': 0.028600411561049175}",25,11,20.871763933859704,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1184,False,"{'a': 0.5, 'e': 0.028514610326366027}",20,9,19.899904548863596,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1185,False,"{'a': 0.5, 'e': 0.02842906649538693}",25,0,40.6316924204045,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1186,False,"{'a': 0.5, 'e': 0.02834377929590077}",25,7,31.231487597903094,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1187,False,"{'a': 0.5, 'e': 0.028258747958013065}",20,8,-19.923388513388925,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1188,False,"{'a': 0.5, 'e': 0.028173971714139025}",20,14,10.869679752956417,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1189,False,"{'a': 0.5, 'e': 0.028089449798996607}",20,12,14.007021174189568,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1190,False,"{'a': 0.5, 'e': 0.02800518144959962}",20,6,26.569719554341695,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1191,False,"{'a': 0.5, 'e': 0.02792116590525082}",20,15,8.327352035529588,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1192,False,"{'a': 0.5, 'e': 0.02783740240753507}",20,14,10.256395858232157,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1193,False,"{'a': 0.5, 'e': 0.027753890200312464}",25,13,23.331302343060926,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1194,False,"{'a': 0.5, 'e': 0.027670628529711527}",30,8,35.84678091251225,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1195,False,"{'a': 0.5, 'e': 0.027587616644122393}",20,11,20.78794244159598,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1196,False,"{'a': 0.5, 'e': 0.027504853794190025}",20,10,12.855740756831974,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1197,False,"{'a': 0.5, 'e': 0.027422339232807454}",25,14,21.869737346388437,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1198,False,"{'a': 0.5, 'e': 0.02734007221510903}",25,5,29.405675824735066,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
1199,False,"{'a': 0.5, 'e': 0.027258051998463702}",25,12,23.350321921677807,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1200,False,"{'a': 0.5, 'e': 0.027176277842468313}",25,14,23.906895975078495,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1201,False,"{'a': 0.5, 'e': 0.02709474900894091}",30,20,-23.97782835807504,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1202,False,"{'a': 0.5, 'e': 0.027013464761914085}",25,7,29.233322422466685,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1203,False,"{'a': 0.5, 'e': 0.02693242436762834}",30,12,32.50174749389356,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1204,False,"{'a': 0.5, 'e': 0.026851627094525456}",25,14,13.977545287515698,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1205,False,"{'a': 0.5, 'e': 0.02677107221324188}",20,3,15.268315302943689,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1206,False,"{'a': 0.5, 'e': 0.026690758996602153}",20,12,16.924430370378566,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1207,False,"{'a': 0.5, 'e': 0.026610686719612347}",20,10,18.669631669214155,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1208,False,"{'a': 0.5, 'e': 0.02653085465945351}",20,2,32.23273082860564,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1209,False,"{'a': 0.5, 'e': 0.02645126209547515}",20,10,17.70563420786767,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1210,False,"{'a': 0.5, 'e': 0.026371908309188723}",25,16,19.727050619443656,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1211,False,"{'a': 0.5, 'e': 0.026292792584261156}",25,9,30.823851216718957,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1212,False,"{'a': 0.5, 'e': 0.02621391420650837}",25,19,11.044705703463453,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1213,False,"{'a': 0.5, 'e': 0.026135272463888845}",20,10,22.16750178370909,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1214,False,"{'a': 0.5, 'e': 0.02605686664649718}",20,2,26.88834563633793,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1215,False,"{'a': 0.5, 'e': 0.025978696046557687}",20,10,19.449679106125615,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1216,False,"{'a': 0.5, 'e': 0.025900759958418014}",25,14,10.28706579081079,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1217,False,"{'a': 0.5, 'e': 0.02582305767854276}",20,9,18.01603373163625,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1218,False,"{'a': 0.5, 'e': 0.025745588505507132}",20,7,24.136325905993743,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1219,False,"{'a': 0.5, 'e': 0.02566835173999061}",20,11,18.83559902013695,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1220,False,"{'a': 0.5, 'e': 0.025591346684770637}",30,24,9.888212065666387,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1221,False,"{'a': 0.5, 'e': 0.025514572644716325}",20,16,8.19213851312431,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1222,False,"{'a': 0.5, 'e': 0.025438028926782177}",30,21,17.29035762297658,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1223,False,"{'a': 0.5, 'e': 0.02536171484000183}",25,18,6.392461941309816,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1224,False,"{'a': 0.5, 'e': 0.025285629695481822}",20,12,13.97601741110332,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1225,False,"{'a': 0.5, 'e': 0.025209772806395376}",25,18,17.162158636661317,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1226,False,"{'a': 0.5, 'e': 0.02513414348797619}",20,12,16.308298872122997,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1227,False,"{'a': 0.5, 'e': 0.02505874105751226}",20,10,20.002057817757667,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1228,False,"{'a': 0.5, 'e': 0.024983564834339726}",20,13,10.552568965658262,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1229,False,"{'a': 0.5, 'e': 0.024908614139836707}",30,22,16.183321704166232,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1230,False,"{'a': 0.5, 'e': 0.024833888297417197}",20,9,19.12800511329386,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1231,False,"{'a': 0.5, 'e': 0.024759386632524947}",30,13,29.483086021205807,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1232,False,"{'a': 0.5, 'e': 0.024685108472627372}",25,17,17.623994551676297,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
