trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
911,False,"{'a': 0.5, 'e': 0.06475737291368056}",30,12,35.263266861115056,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
912,False,"{'a': 0.5, 'e': 0.06456310079493952}",25,12,18.267452409566268,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
913,False,"{'a': 0.5, 'e': 0.06436941149255469}",30,12,16.15722109848058,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
914,False,"{'a': 0.5, 'e': 0.06417630325807702}",25,12,3.2091554721828017,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
915,False,"{'a': 0.5, 'e': 0.0639837743483028}",25,14,19.770692139505687,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
916,False,"{'a': 0.5, 'e': 0.06379182302525789}",35,0,17.076932836893924,"{0: 33, 1: 0, 2: 1, 3: 1, 4: 0}",0
917,False,"{'a': 0.5, 'e': 0.06360044755618212}",25,7,-7.6567197169000325,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
918,False,"{'a': 0.5, 'e': 0.06340964621351357}",20,11,15.04170989876153,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
919,False,"{'a': 0.5, 'e': 0.06321941727487303}",30,12,29.12103532480339,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
920,False,"{'a': 0.5, 'e': 0.0630297590230484}",30,12,31.915246784005483,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
921,False,"{'a': 0.5, 'e': 0.06284066974597925}",30,19,11.290399920104717,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
922,False,"{'a': 0.5, 'e': 0.06265214773674131}",20,10,6.9327957236639515,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
923,False,"{'a': 0.5, 'e': 0.06246419129353109}",35,19,32.957524978865905,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
924,False,"{'a': 0.5, 'e': 0.0622767987196505}",20,7,20.502373633538102,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
925,False,"{'a': 0.5, 'e': 0.06208996832349155}",25,14,18.423493670377344,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
926,False,"{'a': 0.5, 'e': 0.06190369841852107}",35,21,12.385234281591467,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
927,False,"{'a': 0.5, 'e': 0.06171798732326551}",20,13,14.572198784082564,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
928,False,"{'a': 0.5, 'e': 0.06153283336129571}",20,5,15.656421322120844,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
929,False,"{'a': 0.5, 'e': 0.061348234861211826}",25,16,16.39005680418149,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
930,False,"{'a': 0.5, 'e': 0.06116419015662819}",25,15,20.139667425408177,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
931,False,"{'a': 0.5, 'e': 0.0609806975861583}",20,6,25.604424905162823,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
932,False,"{'a': 0.5, 'e': 0.06079775549339983}",20,6,20.90605534967846,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
933,False,"{'a': 0.5, 'e': 0.06061536222691963}",30,16,27.255519264526683,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
934,False,"{'a': 0.5, 'e': 0.06043351614023887}",30,8,43.405466579457624,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
935,False,"{'a': 0.5, 'e': 0.060252215591818155}",25,16,12.882852436882482,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
936,False,"{'a': 0.5, 'e': 0.0600714589450427}",20,4,28.11412856136344,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
937,False,"{'a': 0.5, 'e': 0.05989124456820757}",20,2,-122.81250976254663,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 3}",1
938,False,"{'a': 0.5, 'e': 0.059711570834502944}",20,6,25.192042514574034,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
939,False,"{'a': 0.5, 'e': 0.05953243612199943}",25,8,23.78039654108698,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
